order_id,customer_id,order_date,order_status,payment_method,order_amount
1,1,2025-10-20,completed,upi,81.67
2,1,2025-11-17,completed,credit_card,131.77
3,1,2025-11-21,completed,debit_card,38.66
4,2,2024-08-07,completed,credit_card,76.69
5,2,2024-09-14,completed,credit_card,24.79
6,3,2025-09-22,completed,paypal,66.57
7,4,2024-10-24,completed,paypal,36.5
8,4,2024-10-25,completed,credit_card,58.35
9,4,2024-11-25,cancelled,debit_card,34.93
10,4,2025-01-28,completed,credit_card,44.13
11,5,2025-05-24,completed,upi,90.42
12,6,2025-05-31,completed,paypal,20.52
13,7,2025-12-02,cancelled,debit_card,86.14
14,8,2024-04-21,completed,credit_card,60.72
15,8,2024-09-25,completed,credit_card,38.92
16,8,2024-11-26,completed,credit_card,103.12
17,8,2025-01-24,completed,upi,32.88
18,8,2025-03-29,completed,debit_card,79.94
19,8,2025-06-21,completed,credit_card,28.78
20,8,2025-07-18,completed,credit_card,43.57
21,8,2025-12-09,completed,credit_card,89.91
22,9,2025-12-03,completed,credit_card,120.97
23,9,2025-12-07,completed,paypal,52.86
24,10,2025-08-05,completed,credit_card,134.55
25,10,2025-08-08,completed,paypal,57.61
26,11,2024-07-08,completed,credit_card,9.01
27,11,2025-04-02,completed,credit_card,29.53
28,12,2025-09-30,completed,paypal,37.72
29,12,2025-11-13,completed,credit_card,57.82
30,12,2025-12-09,completed,credit_card,98.2
31,13,2025-10-30,completed,credit_card,65.81
32,13,2025-12-08,completed,credit_card,64.35
33,14,2025-02-24,completed,credit_card,48.45
34,15,2025-08-19,completed,credit_card,70.44
35,16,2025-04-11,cancelled,credit_card,9.79
36,16,2025-12-30,completed,paypal,53.2
37,17,2024-09-04,completed,credit_card,47.39
38,17,2024-09-16,completed,upi,66.04
39,17,2024-12-06,completed,debit_card,88.8
40,17,2025-07-16,completed,paypal,27.12
41,17,2025-08-07,completed,debit_card,25.28
42,18,2024-10-06,completed,paypal,35.89
43,18,2024-12-24,completed,credit_card,23.72
44,18,2025-11-07,completed,upi,73.53
45,19,2025-08-12,completed,credit_card,89.96
46,19,2025-09-07,completed,paypal,20.32
47,19,2025-09-26,completed,debit_card,64.3
48,20,2025-09-29,completed,debit_card,88.33
49,20,2025-10-26,completed,debit_card,32.8
50,21,2024-08-30,completed,paypal,63.17
51,21,2025-12-15,completed,paypal,155.92
52,22,2025-08-16,completed,debit_card,73.54
53,22,2025-12-31,completed,debit_card,97.91
54,23,2025-03-30,completed,credit_card,70.82
55,24,2025-11-25,completed,credit_card,51.38
56,24,2025-12-01,completed,debit_card,67.72
57,24,2025-12-15,completed,paypal,80.61
58,24,2025-12-26,completed,paypal,28.35
